# version: CHB v1 (standalone) | generated: 2026-06-17 | seed: 42 | input: conduction-cell channel SUBTYPE fractions, node-matched fetal-vs-adult pacemaker; linear scale
group,ion,subtype,expr,fraction,n
fetal_SAN_pace,Ca,L-type,49.8594,0.9865,762
fetal_SAN_pace,Ca,N-type,0.0614,0.0012,762
fetal_SAN_pace,Ca,PQ-type,0.0337,0.0007,762
fetal_SAN_pace,Ca,R-type,0.0099,0.0002,762
fetal_SAN_pace,Ca,T-type,0.5755,0.0114,762
fetal_SAN_pace,K,Kir,0.0822,0.0052,762
fetal_SAN_pace,K,Kir_ATP,0.021,0.0013,762
fetal_SAN_pace,K,Kir_GIRK,12.4017,0.7839,762
fetal_SAN_pace,K,Kv_Ito,0.7043,0.0445,762
fetal_SAN_pace,K,Kv_rapid,0.2727,0.0172,762
fetal_SAN_pace,K,Kv_slow,2.2882,0.1446,762
fetal_SAN_pace,K,Kv_ultrarapid,0.0513,0.0032,762
fetal_SAN_pace,Na,Nav_beta,0.0103,0.0215,762
fetal_SAN_pace,Na,Nav_cardiac,0.47,0.9785,762
fetal_SAN_pace,Na,Nav_neuronal,0.0,0.0,762
fetal_SAN_pace,cation,HCN,17.7325,1.0,762
fetal_SAN_work,Ca,L-type,56.8347,0.9886,2192
fetal_SAN_work,Ca,N-type,0.0382,0.0007,2192
fetal_SAN_work,Ca,PQ-type,0.0566,0.001,2192
fetal_SAN_work,Ca,R-type,0.0071,0.0001,2192
fetal_SAN_work,Ca,T-type,0.5558,0.0097,2192
fetal_SAN_work,K,Kir,0.1338,0.0129,2192
fetal_SAN_work,K,Kir_ATP,0.036,0.0035,2192
fetal_SAN_work,K,Kir_GIRK,6.6619,0.6442,2192
fetal_SAN_work,K,Kv_Ito,0.5847,0.0565,2192
fetal_SAN_work,K,Kv_rapid,0.3293,0.0318,2192
fetal_SAN_work,K,Kv_slow,2.3807,0.2302,2192
fetal_SAN_work,K,Kv_ultrarapid,0.2146,0.0207,2192
fetal_SAN_work,Na,Nav_beta,0.0977,0.0472,2192
fetal_SAN_work,Na,Nav_cardiac,1.9683,0.9514,2192
fetal_SAN_work,Na,Nav_neuronal,0.0029,0.0014,2192
fetal_SAN_work,cation,HCN,4.916,1.0,2192
fetal_AVN_pace,Ca,L-type,44.1462,0.9848,1217
fetal_AVN_pace,Ca,N-type,0.0748,0.0017,1217
fetal_AVN_pace,Ca,PQ-type,0.1507,0.0034,1217
fetal_AVN_pace,Ca,R-type,0.014,0.0003,1217
fetal_AVN_pace,Ca,T-type,0.44,0.0098,1217
fetal_AVN_pace,K,Kir,0.1132,0.016,1217
fetal_AVN_pace,K,Kir_ATP,0.0621,0.0088,1217
fetal_AVN_pace,K,Kir_GIRK,3.8534,0.5459,1217
fetal_AVN_pace,K,Kv_Ito,0.4173,0.0591,1217
fetal_AVN_pace,K,Kv_rapid,0.2073,0.0294,1217
fetal_AVN_pace,K,Kv_slow,2.3601,0.3343,1217
fetal_AVN_pace,K,Kv_ultrarapid,0.0456,0.0065,1217
fetal_AVN_pace,Na,Nav_beta,0.0243,0.0357,1217
fetal_AVN_pace,Na,Nav_cardiac,0.6505,0.9567,1217
fetal_AVN_pace,Na,Nav_neuronal,0.0052,0.0077,1217
fetal_AVN_pace,cation,HCN,2.5889,1.0,1217
fetal_AVN_work,Ca,L-type,71.2695,0.9964,5730
fetal_AVN_work,Ca,N-type,0.0717,0.001,5730
fetal_AVN_work,Ca,PQ-type,0.0366,0.0005,5730
fetal_AVN_work,Ca,R-type,0.0087,0.0001,5730
fetal_AVN_work,Ca,T-type,0.1425,0.002,5730
fetal_AVN_work,K,Kir,0.6128,0.1252,5730
fetal_AVN_work,K,Kir_ATP,0.164,0.0335,5730
fetal_AVN_work,K,Kir_GIRK,1.1132,0.2274,5730
fetal_AVN_work,K,Kv_Ito,0.5046,0.1031,5730
fetal_AVN_work,K,Kv_rapid,0.3747,0.0765,5730
fetal_AVN_work,K,Kv_slow,2.0754,0.4239,5730
fetal_AVN_work,K,Kv_ultrarapid,0.0512,0.0105,5730
fetal_AVN_work,Na,Nav_beta,0.02,0.0126,5730
fetal_AVN_work,Na,Nav_cardiac,1.5665,0.9861,5730
fetal_AVN_work,Na,Nav_neuronal,0.0021,0.0013,5730
fetal_AVN_work,cation,HCN,0.9482,1.0,5730
adult_SAN_pace,Ca,L-type,59.8056,0.9803,490
adult_SAN_pace,Ca,N-type,0.1263,0.0021,490
adult_SAN_pace,Ca,PQ-type,0.067,0.0011,490
adult_SAN_pace,Ca,R-type,0.5302,0.0087,490
adult_SAN_pace,Ca,T-type,0.4799,0.0079,490
adult_SAN_pace,K,Kir,0.2241,0.0077,490
adult_SAN_pace,K,Kir_ATP,0.1403,0.0048,490
adult_SAN_pace,K,Kir_GIRK,22.904,0.7905,490
adult_SAN_pace,K,Kv_Ito,3.114,0.1075,490
adult_SAN_pace,K,Kv_rapid,0.5569,0.0192,490
adult_SAN_pace,K,Kv_slow,1.9963,0.0689,490
adult_SAN_pace,K,Kv_ultrarapid,0.0374,0.0013,490
adult_SAN_pace,Na,Nav_beta,0.0291,0.0295,490
adult_SAN_pace,Na,Nav_cardiac,0.9581,0.969,490
adult_SAN_pace,Na,Nav_neuronal,0.0015,0.0015,490
adult_SAN_pace,cation,HCN,11.3712,1.0,490
adult_AVN_pace,Ca,L-type,58.8763,0.9909,310
adult_AVN_pace,Ca,N-type,0.0514,0.0009,310
adult_AVN_pace,Ca,PQ-type,0.0383,0.0006,310
adult_AVN_pace,Ca,R-type,0.1673,0.0028,310
adult_AVN_pace,Ca,T-type,0.2834,0.0048,310
adult_AVN_pace,K,Kir,0.3312,0.0231,310
adult_AVN_pace,K,Kir_ATP,0.0618,0.0043,310
adult_AVN_pace,K,Kir_GIRK,9.046,0.6311,310
adult_AVN_pace,K,Kv_Ito,2.6585,0.1855,310
adult_AVN_pace,K,Kv_rapid,0.3215,0.0224,310
adult_AVN_pace,K,Kv_slow,1.9015,0.1327,310
adult_AVN_pace,K,Kv_ultrarapid,0.0139,0.001,310
adult_AVN_pace,Na,Nav_beta,0.0,0.0,310
adult_AVN_pace,Na,Nav_cardiac,0.6485,0.9401,310
adult_AVN_pace,Na,Nav_neuronal,0.0413,0.0599,310
adult_AVN_pace,cation,HCN,4.1492,1.0,310
adult_work_vCM,Ca,L-type,62.5923,0.9936,33697
adult_work_vCM,Ca,N-type,0.0455,0.0007,33697
adult_work_vCM,Ca,PQ-type,0.0343,0.0005,33697
adult_work_vCM,Ca,R-type,0.2088,0.0033,33697
adult_work_vCM,Ca,T-type,0.1151,0.0018,33697
adult_work_vCM,K,Kir,0.3633,0.0224,33697
adult_work_vCM,K,Kir_ATP,0.1442,0.0089,33697
adult_work_vCM,K,Kir_GIRK,8.274,0.5108,33697
adult_work_vCM,K,Kv_Ito,4.2568,0.2628,33697
adult_work_vCM,K,Kv_rapid,0.539,0.0333,33697
adult_work_vCM,K,Kv_slow,2.5339,0.1564,33697
adult_work_vCM,K,Kv_ultrarapid,0.0867,0.0053,33697
adult_work_vCM,Na,Nav_beta,0.0137,0.0048,33697
adult_work_vCM,Na,Nav_cardiac,2.8117,0.991,33697
adult_work_vCM,Na,Nav_neuronal,0.0118,0.0042,33697
adult_work_vCM,cation,HCN,3.4794,1.0,33697
